Price,Address,Rooms
30 000 ₽/мес.,,лучшая квартира на левенцовке
45 000 ₽/мес.,,"2-комн. квартира, 55 м², 14/18 этаж"
18 000 ₽/мес.,,"1-комн. квартира, 25 м², 2/3 этаж"
85 000 ₽/мес.,,"В центре, в тишине и с парковкой"
35 000 ₽/мес.,,"Хороший район, отличный ремонт"
12 000 ₽/мес.,,"1-комн. квартира, 22 м², 7/9 этаж"
45 000 ₽/мес.,,Самый центр РостГМУ в 5 минух
24 000 ₽/мес.,,Квартира в центре
15 000 ₽/мес.,,"Студия, 17 м², 1/3 этаж"
38 000 ₽/мес.,,Дгту в 10 минутах ходьбы
30 000 ₽/мес.,,Квартира для пары
18 000 ₽/мес.,,"1-комн. квартира, 18 м², 5/5 этаж"
34 000 ₽/мес.,,Двухкомнатная на западном
39 400 ₽/мес.,,Отличная инфраструктура!
15 000 ₽/мес.,,"1-комн. квартира, 22 м², 1/9 этаж"
85 000 ₽/мес.,,"3-комн. квартира, 70 м², 11/16 этаж"
30 000 ₽/мес.,,сдается 1 комнатная квартира
20 000 ₽/мес.,,"3-комн. квартира, 110 м², 7/19 этаж"
35 000 ₽/мес.,,"Сдаю 2-ю КВ на Капустина,8"
40 500 ₽/мес.,,Впервые и без депозита!
20 000 ₽/мес.,,"1-комн. квартира, 37 м², 5/19 этаж"
63 500 ₽/мес.,,Впервые и без депозита!
48 000 ₽/мес.,,"Сдается 2-я кв на Королева,1и"
40 000 ₽/мес.,,"2-комн. квартира, 54 м², 3/10 этаж"
35 000 ₽/мес.,,"Студия, 33 м², 11/20 этаж"
70 000 ₽/мес.,,"3-комн. квартира, 100 м², 10/18 этаж"
14 000 ₽/мес.,,"Студия, 28 м², 8/17 этаж"
58 500 ₽/мес.,,элитная 2-х комнатная от собствен
